id,name,grade,year,numTested,level1,level2,level3,level4
01M015,P.S. 015 Roberto Clemente,3,2013,27,14,11,2,0
01M015,P.S. 015 Roberto Clemente,3,2014,18,10,8,0,0
01M015,P.S. 015 Roberto Clemente,3,2015,16,9,5,2,0
01M015,P.S. 015 Roberto Clemente,3,2016,20,10,6,4,0
01M015,P.S. 015 Roberto Clemente,3,2017,27,10,8,7,2
01M015,P.S. 015 Roberto Clemente,3,2018,20,0,4,13,3
01M015,P.S. 015 Roberto Clemente,4,2013,20,8,11,1,0
01M015,P.S. 015 Roberto Clemente,4,2014,24,13,10,1,0
01M015,P.S. 015 Roberto Clemente,4,2015,16,5,11,0,0
01M015,P.S. 015 Roberto Clemente,4,2016,15,5,7,3,0
01M015,P.S. 015 Roberto Clemente,4,2017,23,1,12,9,1
01M015,P.S. 015 Roberto Clemente,4,2018,26,0,8,12,6
01M015,P.S. 015 Roberto Clemente,5,2013,24,12,11,1,0
01M015,P.S. 015 Roberto Clemente,5,2014,21,15,5,0,1
01M015,P.S. 015 Roberto Clemente,5,2015,24,14,9,1,0
01M015,P.S. 015 Roberto Clemente,5,2016,16,8,5,3,0
01M015,P.S. 015 Roberto Clemente,5,2017,17,1,11,5,0
01M015,P.S. 015 Roberto Clemente,5,2018,21,5,5,6,5
01M015,P.S. 015 Roberto Clemente,All Grades,2013,71,34,33,4,0
01M015,P.S. 015 Roberto Clemente,All Grades,2014,63,38,23,1,1
01M015,P.S. 015 Roberto Clemente,All Grades,2015,56,28,25,3,0
01M015,P.S. 015 Roberto Clemente,All Grades,2016,51,23,18,10,0
01M015,P.S. 015 Roberto Clemente,All Grades,2017,67,12,31,21,3
01M015,P.S. 015 Roberto Clemente,All Grades,2018,67,5,17,31,14
01M019,P.S. 019 Asher Levy,3,2013,35,11,18,4,2
01M019,P.S. 019 Asher Levy,3,2014,35,10,10,14,1
01M019,P.S. 019 Asher Levy,3,2015,28,11,8,8,1
01M019,P.S. 019 Asher Levy,3,2016,33,6,6,19,2
01M019,P.S. 019 Asher Levy,3,2017,28,4,10,11,3
01M019,P.S. 019 Asher Levy,3,2018,33,3,13,15,2
01M019,P.S. 019 Asher Levy,4,2013,41,20,17,4,0
01M019,P.S. 019 Asher Levy,4,2014,34,7,15,8,4
01M019,P.S. 019 Asher Levy,4,2015,32,4,15,11,2
01M019,P.S. 019 Asher Levy,4,2016,29,3,14,7,5
01M019,P.S. 019 Asher Levy,4,2017,32,3,13,12,4
01M019,P.S. 019 Asher Levy,4,2018,31,7,11,10,3
01M019,P.S. 019 Asher Levy,5,2013,36,7,20,9,0
01M019,P.S. 019 Asher Levy,5,2014,34,14,14,5,1
01M019,P.S. 019 Asher Levy,5,2015,29,4,13,9,3
01M019,P.S. 019 Asher Levy,5,2016,32,5,10,10,7
01M019,P.S. 019 Asher Levy,5,2017,27,1,11,8,7
01M019,P.S. 019 Asher Levy,5,2018,28,1,6,11,10
01M019,P.S. 019 Asher Levy,All Grades,2013,112,38,55,17,2
01M019,P.S. 019 Asher Levy,All Grades,2014,103,31,39,27,6
01M019,P.S. 019 Asher Levy,All Grades,2015,89,19,36,28,6
01M019,P.S. 019 Asher Levy,All Grades,2016,94,14,30,36,14
01M019,P.S. 019 Asher Levy,All Grades,2017,87,8,34,31,14
01M019,P.S. 019 Asher Levy,All Grades,2018,92,11,30,36,15
01M020,P.S. 020 Anna Silver,3,2013,77,27,33,17,0
01M020,P.S. 020 Anna Silver,3,2014,95,59,26,9,1
01M020,P.S. 020 Anna Silver,3,2015,91,34,31,22,4
01M020,P.S. 020 Anna Silver,3,2016,76,20,26,24,6
01M020,P.S. 020 Anna Silver,3,2017,85,42,31,12,0
01M020,P.S. 020 Anna Silver,3,2018,77,19,31,24,3
01M020,P.S. 020 Anna Silver,4,2013,74,26,31,15,2
01M020,P.S. 020 Anna Silver,4,2014,65,18,28,14,5
01M020,P.S. 020 Anna Silver,4,2015,91,35,39,13,4
01M020,P.S. 020 Anna Silver,4,2016,70,18,26,17,9
01M020,P.S. 020 Anna Silver,4,2017,66,17,19,15,15
01M020,P.S. 020 Anna Silver,4,2018,72,20,17,24,11
01M020,P.S. 020 Anna Silver,5,2013,76,32,34,9,1
01M020,P.S. 020 Anna Silver,5,2014,69,26,26,14,3
01M020,P.S. 020 Anna Silver,5,2015,58,18,21,15,4
01M020,P.S. 020 Anna Silver,5,2016,73,30,26,15,2
01M020,P.S. 020 Anna Silver,5,2017,57,15,24,12,6
01M020,P.S. 020 Anna Silver,5,2018,60,24,15,11,10
01M020,P.S. 020 Anna Silver,All Grades,2013,227,85,98,41,3
01M020,P.S. 020 Anna Silver,All Grades,2014,229,103,80,37,9
01M020,P.S. 020 Anna Silver,All Grades,2015,240,87,91,50,12
01M020,P.S. 020 Anna Silver,All Grades,2016,219,68,78,56,17
01M020,P.S. 020 Anna Silver,All Grades,2017,208,74,74,39,21
01M020,P.S. 020 Anna Silver,All Grades,2018,209,63,63,59,24
01M034,P.S. 034 Franklin D. Roosevelt,3,2013,38,18,9,11,0
01M034,P.S. 034 Franklin D. Roosevelt,3,2014,32,19,10,3,0
01M034,P.S. 034 Franklin D. Roosevelt,3,2015,30,11,8,11,0
01M034,P.S. 034 Franklin D. Roosevelt,3,2016,27,6,9,12,0
01M034,P.S. 034 Franklin D. Roosevelt,3,2017,26,4,13,8,1
01M034,P.S. 034 Franklin D. Roosevelt,3,2018,39,15,14,9,1
01M034,P.S. 034 Franklin D. Roosevelt,4,2013,46,10,25,8,3
01M034,P.S. 034 Franklin D. Roosevelt,4,2014,37,13,16,5,3
01M034,P.S. 034 Franklin D. Roosevelt,4,2015,30,7,18,5,0
01M034,P.S. 034 Franklin D. Roosevelt,4,2016,35,7,21,6,1
01M034,P.S. 034 Franklin D. Roosevelt,4,2017,25,8,14,3,0
01M034,P.S. 034 Franklin D. Roosevelt,4,2018,32,11,15,4,2
01M034,P.S. 034 Franklin D. Roosevelt,5,2013,30,10,17,3,0
01M034,P.S. 034 Franklin D. Roosevelt,5,2014,42,19,16,5,2
01M034,P.S. 034 Franklin D. Roosevelt,5,2015,35,14,13,4,4
01M034,P.S. 034 Franklin D. Roosevelt,5,2016,29,12,12,5,0
01M034,P.S. 034 Franklin D. Roosevelt,5,2017,28,10,13,3,2
01M034,P.S. 034 Franklin D. Roosevelt,5,2018,27,13,8,6,0
01M034,P.S. 034 Franklin D. Roosevelt,6,2013,56,19,29,6,2
01M034,P.S. 034 Franklin D. Roosevelt,6,2014,41,13,18,7,3
01M034,P.S. 034 Franklin D. Roosevelt,6,2015,54,13,31,7,3
01M034,P.S. 034 Franklin D. Roosevelt,6,2016,54,15,28,8,3
01M034,P.S. 034 Franklin D. Roosevelt,6,2017,30,10,16,3,1
01M034,P.S. 034 Franklin D. Roosevelt,6,2018,33,13,12,5,3
01M034,P.S. 034 Franklin D. Roosevelt,7,2013,46,17,27,2,0
01M034,P.S. 034 Franklin D. Roosevelt,7,2014,57,17,27,10,3
01M034,P.S. 034 Franklin D. Roosevelt,7,2015,42,14,15,13,0
01M034,P.S. 034 Franklin D. Roosevelt,7,2016,55,11,29,11,4
01M034,P.S. 034 Franklin D. Roosevelt,7,2017,54,9,32,12,1
01M034,P.S. 034 Franklin D. Roosevelt,7,2018,31,12,12,5,2
01M034,P.S. 034 Franklin D. Roosevelt,8,2013,43,17,20,6,0
01M034,P.S. 034 Franklin D. Roosevelt,8,2014,55,16,28,10,1
01M034,P.S. 034 Franklin D. Roosevelt,8,2015,56,11,24,18,3
01M034,P.S. 034 Franklin D. Roosevelt,8,2016,47,11,18,17,1
01M034,P.S. 034 Franklin D. Roosevelt,8,2017,55,7,23,19,6
01M034,P.S. 034 Franklin D. Roosevelt,8,2018,52,8,24,10,10
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2013,259,91,127,36,5
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2014,264,97,115,40,12
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2015,247,70,109,58,10
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2016,247,62,117,59,9
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2017,218,48,111,48,11
01M034,P.S. 034 Franklin D. Roosevelt,All Grades,2018,214,72,85,39,18
01M063,The STAR Academy - P.S.63,3,2013,19,8,8,3,0
01M063,The STAR Academy - P.S.63,3,2014,17,6,6,5,0
01M063,The STAR Academy - P.S.63,3,2015,17,9,1,6,1
01M063,The STAR Academy - P.S.63,3,2016,21,3,6,10,2
01M063,The STAR Academy - P.S.63,3,2017,26,2,10,12,2
01M063,The STAR Academy - P.S.63,3,2018,20,1,10,9,0
01M063,The STAR Academy - P.S.63,4,2013,21,7,12,2,0
01M063,The STAR Academy - P.S.63,4,2014,17,4,10,3,0
01M063,The STAR Academy - P.S.63,4,2015,13,5,5,3,0
01M063,The STAR Academy - P.S.63,4,2016,15,2,8,3,2
01M063,The STAR Academy - P.S.63,4,2017,19,0,6,8,5
01M063,The STAR Academy - P.S.63,4,2018,23,0,7,11,5
01M063,The STAR Academy - P.S.63,5,2013,22,13,5,4,0
01M063,The STAR Academy - P.S.63,5,2014,17,6,8,3,0
01M063,The STAR Academy - P.S.63,5,2015,20,7,9,4,0
01M063,The STAR Academy - P.S.63,5,2016,12,4,4,3,1
01M063,The STAR Academy - P.S.63,5,2017,18,3,3,7,5
01M063,The STAR Academy - P.S.63,5,2018,22,3,7,7,5
01M063,The STAR Academy - P.S.63,All Grades,2013,62,28,25,9,0
01M063,The STAR Academy - P.S.63,All Grades,2014,51,16,24,11,0
01M063,The STAR Academy - P.S.63,All Grades,2015,50,21,15,13,1
01M063,The STAR Academy - P.S.63,All Grades,2016,48,9,18,16,5
01M063,The STAR Academy - P.S.63,All Grades,2017,63,5,19,27,12
01M063,The STAR Academy - P.S.63,All Grades,2018,65,4,24,27,10
01M064,P.S. 064 Robert Simon,3,2013,30,17,10,3,0
01M064,P.S. 064 Robert Simon,3,2014,43,21,14,8,0
01M064,P.S. 064 Robert Simon,3,2015,40,14,18,8,0
01M064,P.S. 064 Robert Simon,3,2016,29,12,11,5,1
01M064,P.S. 064 Robert Simon,3,2017,27,4,14,9,0
01M064,P.S. 064 Robert Simon,3,2018,26,5,14,7,0
01M064,P.S. 064 Robert Simon,4,2013,41,24,15,2,0
01M064,P.S. 064 Robert Simon,4,2014,32,15,13,4,0
01M064,P.S. 064 Robert Simon,4,2015,40,13,21,6,0
01M064,P.S. 064 Robert Simon,4,2016,40,8,23,7,2
01M064,P.S. 064 Robert Simon,4,2017,29,7,15,6,1
01M064,P.S. 064 Robert Simon,4,2018,28,1,11,13,3
01M064,P.S. 064 Robert Simon,5,2013,39,15,16,7,1
01M064,P.S. 064 Robert Simon,5,2014,37,17,14,6,0
01M064,P.S. 064 Robert Simon,5,2015,37,19,16,2,0
01M064,P.S. 064 Robert Simon,5,2016,42,15,19,8,0
01M064,P.S. 064 Robert Simon,5,2017,43,12,18,9,4
01M064,P.S. 064 Robert Simon,5,2018,32,17,10,2,3
01M064,P.S. 064 Robert Simon,All Grades,2013,110,56,41,12,1
01M064,P.S. 064 Robert Simon,All Grades,2014,112,53,41,18,0
01M064,P.S. 064 Robert Simon,All Grades,2015,117,46,55,16,0
01M064,P.S. 064 Robert Simon,All Grades,2016,111,35,53,20,3
01M064,P.S. 064 Robert Simon,All Grades,2017,99,23,47,24,5
01M064,P.S. 064 Robert Simon,All Grades,2018,86,23,35,22,6
01M110,P.S. 110 Florence Nightingale,3,2013,54,13,11,23,7
01M110,P.S. 110 Florence Nightingale,3,2014,69,23,12,32,2
01M110,P.S. 110 Florence Nightingale,3,2015,49,18,9,16,6
01M110,P.S. 110 Florence Nightingale,3,2016,81,10,20,39,12
01M110,P.S. 110 Florence Nightingale,3,2017,59,2,16,28,13
01M110,P.S. 110 Florence Nightingale,3,2018,45,3,6,25,11
01M110,P.S. 110 Florence Nightingale,4,2013,48,9,12,18,9
01M110,P.S. 110 Florence Nightingale,4,2014,53,11,21,15,6
01M110,P.S. 110 Florence Nightingale,4,2015,64,14,23,13,14
01M110,P.S. 110 Florence Nightingale,4,2016,49,6,14,14,15
01M110,P.S. 110 Florence Nightingale,4,2017,72,5,15,25,27
01M110,P.S. 110 Florence Nightingale,4,2018,57,3,10,18,26
01M110,P.S. 110 Florence Nightingale,5,2013,65,12,26,15,12
01M110,P.S. 110 Florence Nightingale,5,2014,45,14,13,8,10
01M110,P.S. 110 Florence Nightingale,5,2015,54,16,12,15,11
01M110,P.S. 110 Florence Nightingale,5,2016,65,24,14,11,16
01M110,P.S. 110 Florence Nightingale,5,2017,47,7,9,11,20
01M110,P.S. 110 Florence Nightingale,5,2018,69,12,10,24,23
01M110,P.S. 110 Florence Nightingale,All Grades,2013,167,34,49,56,28
01M110,P.S. 110 Florence Nightingale,All Grades,2014,167,48,46,55,18
01M110,P.S. 110 Florence Nightingale,All Grades,2015,167,48,44,44,31
01M110,P.S. 110 Florence Nightingale,All Grades,2016,195,40,48,64,43
01M110,P.S. 110 Florence Nightingale,All Grades,2017,178,14,40,64,60
01M110,P.S. 110 Florence Nightingale,All Grades,2018,171,18,26,67,60
01M134,P.S. 134 Henrietta Szold,3,2013,50,20,25,5,0
01M134,P.S. 134 Henrietta Szold,3,2014,44,18,17,9,0
01M134,P.S. 134 Henrietta Szold,3,2015,43,19,16,7,1
01M134,P.S. 134 Henrietta Szold,3,2016,35,12,15,8,0
01M134,P.S. 134 Henrietta Szold,3,2017,50,22,16,12,0
