DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2013-14,190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,48.9%,97,51.1%,9,4.7%,72,37.9%,104,54.7%,2,1.1%,3,1.6%,65,34.2%,19,10.0%,171,90.0%,
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,45.9%,99,54.1%,8,4.4%,65,35.5%,107,58.5%,1,0.5%,2,1.1%,64,35.0%,17,9.3%,169,92.3%,93.5%
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,47.2%,93,52.8%,9,5.1%,57,32.4%,105,59.7%,3,1.7%,2,1.1%,60,34.1%,16,9.1%,149,84.7%,89.6%
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,46.6%,95,53.4%,14,7.9%,51,28.7%,105,59.0%,4,2.2%,4,2.2%,51,28.7%,12,6.7%,152,85.4%,89.2%
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1%,91,47.9%,20,10.5%,52,27.4%,110,57.9%,2,1.1%,6,3.2%,45,23.7%,8,4.2%,161,84.7%,89.0%
01M019,P.S. 019 Asher Levy,2013-14,285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,49.5%,144,50.5%,41,14.4%,56,19.6%,148,51.9%,10,3.5%,30,10.5%,89,31.2%,25,8.8%,213,74.7%,
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,48.9%,138,51.1%,30,11.1%,47,17.4%,158,58.5%,8,3.0%,27,10.0%,82,30.4%,18,6.7%,200,74.1%,60.9%
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,46.3%,145,53.7%,27,10.0%,55,20.4%,169,62.6%,3,1.1%,16,5.9%,82,30.4%,13,4.8%,217,80.4%,63.0%
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,46.9%,144,53.1%,24,8.9%,51,18.8%,180,66.4%,1,0.4%,15,5.5%,88,32.5%,9,3.3%,207,76.4%,58.2%
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4%,143,55.6%,23,8.9%,49,19.1%,166,64.6%,3,1.2%,16,6.2%,87,33.9%,8,3.1%,197,76.7%,67.2%
01M020,P.S. 020 Anna Silver,2013-14,631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,48.3%,326,51.7%,223,35.3%,54,8.6%,314,49.8%,16,2.5%,24,3.8%,144,22.8%,104,16.5%,448,71.0%,
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,47.6%,332,52.4%,231,36.5%,53,8.4%,309,48.8%,15,2.4%,25,3.9%,144,22.7%,120,19.0%,411,64.9%,72.7%
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,47.7%,304,52.3%,204,35.1%,46,7.9%,286,49.2%,21,3.6%,24,4.1%,123,21.2%,88,15.1%,353,60.8%,68.3%
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,49.1%,275,50.9%,175,32.4%,52,9.6%,264,48.9%,22,4.1%,27,5.0%,116,21.5%,93,17.2%,315,58.3%,68.0%
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1%,253,50.9%,147,29.6%,51,10.3%,264,53.1%,19,3.8%,16,3.2%,114,22.9%,86,17.3%,356,71.6%,79.2%
01M034,P.S. 034 Franklin D. Roosevelt,2013-14,393,18,33,32,35,34,45,43,43,57,53,0,0,0,0,196,49.9%,197,50.1%,26,6.6%,108,27.5%,246,62.6%,1,0.3%,12,3.1%,129,32.8%,25,6.4%,373,94.9%,
01M034,P.S. 034 Franklin D. Roosevelt,2014-15,395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,199,50.4%,196,49.6%,25,6.3%,110,27.8%,245,62.0%,1,0.3%,14,3.5%,119,30.1%,26,6.6%,381,96.5%,86.0%
